record_id,employee_id,event_id,date,due_date,status,completion_pct,score,feedback_rating,assigned_by
JR00001,E9001,EV_036,2026-08-07,,no_show,0,,,self
JR00002,E9001,EV_036,2026-08-21,,no_show,0,,,self
JR00003,E9001,EV_036,2026-09-04,,no_show,0,,,self
JR00004,E9001,EV_008,2026-08-10,,completed,100,85,4,self
JR00005,E9001,EV_010,2026-08-20,,completed,100,85,4,self
JR00006,E9001,EV_037,2026-09-05,,completed,100,85,4,self
JR00007,E9002,EV_040,2026-09-10,,completed,100,85,,self
JR00008,E9002,EV_036,2026-09-12,,declined,0,,,self
JR00009,E9002,EV_036,2026-09-14,,declined,0,,,self
JR00010,E9002,EV_036,2026-09-16,,declined,0,,,self
JR00011,E9002,EV_036,2026-09-18,,declined,0,,,self
JR00012,E9003,EV_027,2026-09-12,,no_show,0,,,self
JR00013,E9004,EV_023,2026-09-09,,declined,0,,,self
JR00014,E9005,EV_028,2026-09-10,,completed,100,85,,self
JR00015,E9007,EV_018,2026-09-27,2026-10-10,in_progress,75,,,self
JR00016,E9008,EV_001,2026-09-01,,completed,100,85,,hr
JR00017,E9008,EV_002,2026-09-02,,completed,100,85,,hr
JR00018,E9008,EV_003,2026-09-03,,completed,100,85,,hr
JR00019,E9008,EV_004,2026-09-04,,completed,100,85,,hr
